id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
1	albert palomino	-0.6553	-0.6862	1	5	5	1
2	amado villalobos	0.9616	0.0976	4	2	2	1
3	andrea martínez	0.1476	-0.3997	2	3	9	3
4	andrea piñones	-0.34	-0.0632	1	5	5	8
5	angie díaz	0.5501	-0.0175	2	17	39	11
6	camila neder	0.3906	0.4537	4	2	2	3
7	carolina pérez	-0.8898	-0.1229	1	2	4	3
8	catalina escobar	0.4661	0.56	4	11	14	3
9	catalina sepúlveda	-0.5425	0.1076	7	2	2	1
10	christina cheng	-0.5555	0.5859	5	4	4	2
11	claudia maturana	0.5731	0.3131	2	21	97	21
12	claudia ulloa	-0.5752	-0.5307	1	7	9	2
13	claudio gonzález-wevar	-0.0311	0.3671	2	18	57	17
14	claudio valenzuela	0.2532	-0.5367	3	1	1	1
15	constanza millán	-0.2958	0.2723	2	3	6	2
16	césar cárdenas	-0.8722	-0.264	1	6	13	22
17	daly noll	-0.2174	-0.4229	1	5	11	4
18	daniela nualart	-0.8841	0.8613	5	5	23	16
19	eduardo pizarro	-0.4921	-0.6536	1	7	10	3
20	elie poulin	0.2137	0.0276	2	36	134	42
21	elisa gonzález	-0.7116	-0.5942	1	5	5	1
22	erwan courville	0.0712	-0.2829	2	3	12	6
23	fabio méndez	-0.8595	0.2001	6	2	4	2
24	fabiola león	-0.2897	-0.5765	1	6	14	6
25	fernando moya	1.1066	-0.1277	3	12	29	6
26	francisca higueras	0.2892	-0.4984	3	1	1	1
27	francisca rodríguez	-0.1685	0.0161	2	2	2	1
28	francisco bahamonde	-0.8484	0.0971	6	2	4	2
29	francisco santa-cruz	-0.7682	-0.1349	1	2	3	2
30	giovannina sutherland	-0.653	0.0921	7	2	4	3
31	gonzalo barriga	-0.6719	-0.3076	1	1	2	2
32	guillaume schwob	0.6967	-0.295	3	18	54	13
33	hugo benítez	1.1893	0.1953	4	13	37	18
34	javier rendoll	1.0772	0.6308	4	11	38	9
35	jordan hernández	1.2349	0.4304	4	8	22	6
36	juan navedo	0	-0	8	0	0	6
37	julia saravia	-0.69	0.8498	5	3	6	2
38	juliana vianna	-0.4273	-0.3902	1	13	28	13
39	julieta orlando	0.5939	-0.5424	3	20	59	24
40	karin gérard	0.3971	-0.2859	3	14	37	9
41	katerin almendras	0.6383	-0.8153	3	4	11	5
42	kurt paschke	-0.6987	0.6963	5	6	13	6
43	lucas krüger	-0.7972	-0.4387	1	8	14	25
44	lucila morales	-0.264	-0.228	1	3	3	1
45	luis pertierra	-0.1146	-0.2381	1	7	8	8
46	luis valentín ferrada	-0.6401	0.1832	7	2	4	10
47	luis vargas-chacoff	-0.9092	0.6822	5	6	24	30
48	léa cabrol	0.8817	-0.1557	3	15	48	16
49	marcelo lizama	-0.2712	0.1608	2	3	6	2
50	maría josé pérez-álvarez	-0.0987	-0.0634	2	2	4	7
51	mauricio ergas	-0.6726	0.4897	5	2	2	1
52	mauricio landaeta	-0.5965	-0.1437	1	1	1	1
53	melisa gañán	0.889	0.7933	4	15	42	9
54	máximo frangópulos	-0.9423	0.134	6	2	4	7
55	mélanie delleuze	0.8797	-0.4976	3	7	18	4
56	natalia lizana	0.3811	-0.8553	3	3	7	3
57	nicolás segovia	0.0379	0.6171	2	4	12	3
58	pablo guerrero	0.7323	0.1123	4	12	17	9
59	peter convey	0.6917	0.6421	4	19	67	16
60	roy mackenzie	0.3641	0.3015	4	3	3	2
61	sebastián rosenfeld	0.2278	0.4201	2	15	48	13
62	steven chown	-0.198	-0.0585	1	3	3	1
63	tamara contador	0.9355	0.3514	4	20	89	22
64	valentina bernal	0.2821	0.6309	4	12	14	3
65	yasna tapia	1.061	-0.3401	3	6	12	2
66	yosbany pérez	0.4964	-0.9252	3	3	9	4
67	zambra lópez	-0.0687	0.1198	2	5	5	1
